gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
GLP1R,0.0163801040583451,0.116120103058023,0.8929924242424241,-0.776872321184401,-0.0127252494610486,restore_normal,0.7768723211844011
VDAC2,0.0161412110710736,0.1799956327717662,0.9643822843822846,-0.7843866516105183,-0.0126609505049781,restore_normal,0.7843866516105183
BBOX1,-0.0159514574869479,0.9063459679672372,0.1152316433566433,0.7911143246105938,-0.0126194265163414,restore_normal,0.7911143246105939
MNS1,-0.016322430817595,0.8425378733953379,0.0737427156177155,0.7687951577776224,-0.0125486057757272,restore_normal,0.7687951577776224
POM121,0.0160684129328068,0.1821631909024641,0.957817599067599,-0.7756544081651349,-0.0124635353235493,restore_normal,0.7756544081651349
THUMPD3-AS1,0.0164062175911612,0.0963498321079047,0.8541491841491843,-0.7577993520412796,-0.0124326210600302,restore_normal,0.7577993520412796
AVPR1A,0.0159388719613784,0.102268603803556,0.8802826340326341,-0.7780140302290781,-0.0124006660119772,restore_normal,0.7780140302290781
SPG7,-0.016544408451326,0.9234846627868268,0.1764306526806526,0.7470540101061741,-0.0123595666783976,restore_normal,0.7470540101061742
PNRC1,0.0160262321234461,0.1859748820152617,0.95495337995338,-0.7689784979381183,-0.0123238279058952,restore_normal,0.7689784979381183
C11orf16,0.0164634891551533,0.1058303567319003,0.8518851981351981,-0.7460548414032978,-0.0122826657905928,restore_normal,0.7460548414032978
